id,question,answer
1,How many rounds does Tawaf consist of?,Tawaf consists of seven rounds around the Kaaba.
2,How many rounds are in Tawaf?,Tawaf consists of seven rounds around the Kaaba.
3,Does Tawaf begin from the Black Stone?,"Yes, each round begins and ends at the Black Stone."
4,Where do I start Tawaf?,Start from the Black Stone and walk counterclockwise around the Kaaba.
5,What is the direction of Tawaf?,Tawaf is performed counterclockwise with the Kaaba on your left.
6,Is ablution (wudu) required for Tawaf?,The majority of scholars require ritual purity (wudu) for Tawaf to be valid.
7,Is Tawaf valid without ablution?,"Ablution is required for Tawaf; if you are unable, consult your religious guide."
8,What is the ruling on interrupting Tawaf and then completing it?,"If Tawaf is interrupted for a valid reason, most scholars allow you to resume from where you stopped, though it is safer to repeat the interrupted round."
9,What should I do if I lose count of my Tawaf rounds?,Build on the lesser (certain) number and continue until you complete seven rounds.
10,Is there a specific supplication for each round of Tawaf?,There is no fixed supplication for each round; supplicate and remember Allah as you wish.
11,What is the supplication between the Yemeni Corner and the Black Stone?,"It is recommended to say: Our Lord, give us good in this world and good in the Hereafter, and protect us from the punishment of the Fire."
12,Should I touch the Black Stone?,"If possible without harming others, touch and kiss it; otherwise point toward it with your hand and say Allahu Akbar."
13,How do I gesture toward the Black Stone?,"Point your hand toward it, say Allahu Akbar, then continue your Tawaf."
14,Should I touch the Yemeni Corner?,It is recommended to touch the Yemeni Corner with your hand if possible without harm; it is not kissed.
15,Should I gesture toward the Yemeni Corner like the Black Stone?,"No, it is not prescribed to gesture toward the Yemeni Corner if you cannot touch it."
16,What is Idtiba and when is it done?,Idtiba is uncovering the right shoulder by placing the garment under the right armpit; it is done during the arrival Tawaf for men only.
19,Is Tawaf inside the Hijr (Hijr Ismail) valid?,"No, because the Hijr is part of the Kaaba; Tawaf must be performed outside it."
20,Is it permissible to perform Tawaf on the upper floors?,"Yes, performing Tawaf on the upper floors is permissible when crowded."
21,When should I pray the two Tawaf rak'ahs?,Immediately after completing Tawaf if possible; otherwise pray them anywhere in the Grand Mosque.
22,Where should I pray the two Tawaf rak'ahs?,Preferably behind Maqam Ibrahim if possible without crowding; otherwise anywhere in the Grand Mosque.
